# TileX TileY ObjIdx X_local Y_local
3248 0 1 124.14 195.65
3360 0 1 12.14 195.65
3360 0 2 192.64 221.76
3472 0 1 206.82 207.14
3472 0 2 175.94 200.45
3472 0 3 171.14 201.00
3472 0 4 196.16 218.58
3472 0 5 114.00 214.00
3472 0 6 220.06 131.65
3472 0 7 80.64 221.76
3584 0 1 206.36 173.67
3584 0 2 194.42 177.02
3584 0 3 145.61 189.44
3584 0 4 94.82 207.14
3584 0 5 156.97 199.35
3584 0 6 63.94 200.45
3584 0 7 170.18 203.62
3584 0 8 59.14 201.00
3584 0 9 84.16 218.58
3584 0 10 183.00 215.47
3584 0 11 2.00 214.00
3584 0 12 137.57 217.47
3584 0 13 218.05 190.17
3584 0 14 108.06 131.65
3584 0 15 116.43 11.62
3696 0 1 207.72 151.42
3696 0 2 197.50 151.44
3696 0 3 187.71 159.62
3696 0 4 172.57 156.50
3696 0 5 205.84 164.75
3696 0 6 161.01 159.76
3696 0 7 127.26 175.78
3696 0 8 128.03 165.00
3696 0 9 94.36 173.67
3696 0 10 138.36 181.83
3696 0 11 120.74 181.86
3696 0 12 82.42 177.02
3696 0 13 143.24 182.40
3696 0 14 33.61 189.44
3696 0 15 128.94 200.03
3696 0 16 44.97 199.35
3696 0 17 58.18 203.62
3696 0 18 71.00 215.47
3696 0 19 25.57 217.47
3696 0 20 106.05 190.17
3696 0 21 220.64 67.13
3696 0 22 4.43 11.62
3696 0 23 217.35 158.54
3696 0 24 210.74 166.27
3696 0 25 207.29 159.51
3696 0 26 141.06 176.58
3808 0 1 209.12 142.86
3808 0 2 181.99 131.96
3808 0 3 178.00 138.01
3808 0 4 185.17 135.63
3808 0 5 146.36 139.17
3808 0 6 169.38 141.95
3808 0 7 95.72 151.42
3808 0 8 192.47 147.52
3808 0 9 85.50 151.44
3808 0 10 75.71 159.62
3808 0 11 60.57 156.50
3808 0 12 196.69 172.92
3808 0 13 93.84 164.75
3808 0 14 49.01 159.76
3808 0 15 15.26 175.78
3808 0 16 16.03 165.00
3808 0 17 26.36 181.83
3808 0 18 8.74 181.86
3808 0 19 141.66 187.50
3808 0 20 31.24 182.40
3808 0 21 149.46 188.81
3808 0 22 114.24 190.26
3808 0 23 199.27 206.47
3808 0 24 16.94 200.03
3808 0 25 127.74 220.67
3808 0 26 108.64 67.13
3808 0 27 218.33 11.97
3808 0 28 105.35 158.54
3808 0 29 98.74 166.27
3808 0 30 95.29 159.51
3808 0 31 204.98 185.73
3808 0 32 207.49 167.97
